Time,T2
1600276963.056015,1540.424377
1600276963.056015,1540.424377
1600276963.056015,1540.423604
1600276963.056015,1540.424377
1600276963.056015,1540.422058
1600276963.056015,1540.422831
1600276963.056015,1540.425150
1600276963.056015,1540.423604
1600276963.056015,1540.422831
1600276963.056015,1540.426695
1600276963.056019,1540.425923
1600276963.056019,1540.425150
1600276963.056019,1540.424377
1600276963.056019,1540.422831
1600276963.056019,1540.424377
1600276963.056019,1540.425150
1600276963.056019,1540.425150
1600276963.056019,1540.422058
1600276963.056019,1540.425150
1600276963.056019,1540.426695
1600276963.056019,1540.423604
1600276963.056022,1540.424377
1600276963.056022,1540.425150
1600276963.056022,1540.424377
1600276963.056022,1540.427468
1600276963.056022,1540.425150
1600276963.056022,1540.425150
1600276963.056022,1540.423604
1600276963.056022,1540.424377
1600276963.056022,1540.426695
1600276963.056022,1540.422058
1600276963.056022,1540.423604
1600276963.057323,1540.422058
1600276963.057323,1540.424377
1600276963.057323,1540.426695
1600276963.057323,1540.425150
1600276963.057323,1540.424377
1600276963.057323,1540.424377
1600276963.057323,1540.425150
1600276963.057323,1540.425150
1600276963.057323,1540.422058
1600276963.057323,1540.424377
1600276963.057323,1540.427468
1600276963.057328,1540.424377
1600276963.057328,1540.423604
1600276963.057328,1540.425150
1600276963.057328,1540.424377
1600276963.057328,1540.425150
1600276963.057328,1540.423604
1600276963.057328,1540.422831
1600276963.057328,1540.425150
1600276963.057328,1540.422831
1600276963.057328,1540.425150
1600276963.057328,1540.424377
1600276963.057331,1540.423604
1600276963.057331,1540.424377
1600276963.057331,1540.425923
1600276963.057331,1540.423604
1600276963.057331,1540.424377
1600276963.057331,1540.423604
1600276963.057331,1540.422831
1600276963.057331,1540.422058
1600276963.057331,1540.425150
1600276963.057331,1540.425150
1600276963.057331,1540.423604
1600276963.058630,1540.425923
1600276963.058630,1540.421285
1600276963.058630,1540.423604
1600276963.058630,1540.425150
1600276963.058630,1540.424377
1600276963.058630,1540.425923
1600276963.058630,1540.425150
1600276963.058630,1540.426695
1600276963.058630,1540.425923
1600276963.058630,1540.424377
1600276963.058630,1540.422058
1600276963.058635,1540.424377
1600276963.058635,1540.425150
1600276963.058635,1540.424377
1600276963.058635,1540.425923
1600276963.058635,1540.423604
1600276963.058635,1540.425150
1600276963.058635,1540.422058
1600276963.058635,1540.422831
1600276963.058635,1540.424377
1600276963.058635,1540.423604
1600276963.058635,1540.422831
1600276963.058638,1540.425150
1600276963.058638,1540.425150
1600276963.058638,1540.424377
1600276963.058638,1540.422831
1600276963.058638,1540.424377
1600276963.058638,1540.422831
1600276963.058638,1540.425923
1600276963.058638,1540.424377
1600276963.058638,1540.424377
1600276963.058638,1540.425150
1600276963.058638,1540.422831
1600276963.059946,1540.423604
1600276963.059946,1540.425150
1600276963.059946,1540.422831
1600276963.059946,1540.425150
1600276963.059946,1540.424377
1600276963.059946,1540.424377
1600276963.059946,1540.423604
1600276963.059946,1540.425150
1600276963.059946,1540.421285
1600276963.059946,1540.423604
1600276963.059946,1540.423604
1600276963.059951,1540.421285
1600276963.059951,1540.425150
1600276963.059951,1540.424377
1600276963.059951,1540.425150
1600276963.059951,1540.425923
1600276963.059951,1540.425923
1600276963.059951,1540.426695
1600276963.059951,1540.423604
1600276963.059951,1540.426695
1600276963.059951,1540.424377
1600276963.059951,1540.422058
1600276963.059954,1540.425150
1600276963.059954,1540.424377
1600276963.059954,1540.425923
1600276963.059954,1540.425923
1600276963.059954,1540.421285
1600276963.059954,1540.425150
1600276963.059954,1540.424377
1600276963.059954,1540.424377
1600276963.059954,1540.423604
1600276963.059954,1540.427468
1600276963.059954,1540.424377
1600276963.061256,1540.425923
1600276963.061256,1540.423604
1600276963.061256,1540.425923
1600276963.061256,1540.425150
1600276963.061256,1540.424377
1600276963.061256,1540.426695
1600276963.061256,1540.425923
1600276963.061256,1540.425150
1600276963.061256,1540.425923
